VERSION 10100 -- Tue Jan 15 19:35:26 2002 UTC -- created by alex on q from file /net/q/u/alex/kepler/sgrid/s25/s25#presn
  grid    cell outer total mass        cell outer radius      cell outer velocity             cell density         cell temperature            cell pressure     cell specific energy    cell specific entropy    cell angular velocity               cell A_bar                 cell Y_e       stability   NETWORK                 neutrons                       H1                      He3                      He4                      C12                      N14                      O16                     Ne20                     Mg24                     Si28                      S32                     Ar36                     Ca40                     Ti44                     Cr48                     Fe52                     Fe54                     Ni56                     Fe56                     'Fe'
  26:    3.9783999999822627E+32   3.5200829028344423E+07  -2.4686881498762876E+07   1.7391934816060972E+09   7.6832012657105246E+09   1.0055511638556197E+27   1.6079087860921651E+18   1.0564381612500595E+00   0.0000000000000000E+00   4.0941642450516021E+01   4.4933942545495753E-01       radiative       NSE   6.0996979860988246E-04   1.2468116134197816E-04                      ---   2.3921640864773622E-02                      ---                      ---   0.0000000000000000E+00                      ---   3.5811586277493206E-06   4.0268031620428221E-06   3.0969194807925205E-04   1.6579250760730967E-04   1.5336716180945135E-04   2.8110998889518020E-03   1.4247703845064952E-01                      ---   5.0275242493169822E-03   1.0729611102111885E-06   3.3781856433551846E-02   7.9060726544694182E-01
  27:    4.1773199999782814E+32   3.5936484555576622E+07  -2.5197933825625092E+07   1.7007625059496663E+09   7.6723195728040419E+09   9.7828628919506360E+26   1.5993823717409928E+18   1.0622571933362983E+00   0.0000000000000000E+00   4.0813643345516660E+01   4.4957328291869608E-01       radiative       NSE   5.9622321732031528E-04   1.2854887297122485E-04                      ---   2.4294654684935774E-02                      ---                      ---   0.0000000000000000E+00                      ---   3.6423380560122505E-06   4.3116879084231899E-06   3.1843810097191501E-04   1.7045055236502305E-04   1.5412450072686758E-04   2.7841998989070480E-03   1.4104367343013358E-01                      ---   5.3855244044800103E-03   1.2013293910306099E-06   3.5516385034054410E-02   7.8959719445908849E-01
  28:    4.3762399999739311E+32   3.6658750468204536E+07  -2.5699321564148754E+07   1.6634160909170966E+09   7.6611580529917631E+09   9.5193253597076616E+26   1.5909547109671073E+18   1.0680180467002882E+00   0.0000000000000000E+00   4.0689872036338549E+01   4.4980839507716414E-01       radiative       NSE   5.8223736098498582E-04   1.3247020231977444E-04                      ---   2.4659888873292155E-02                      ---                      ---   0.0000000000000000E+00                      ---   3.7021161216088558E-06   4.6152189312723969E-06   3.2729081684669358E-04   1.7517469818765231E-04   1.5485156993314881E-04   2.7568250863024735E-03   1.3958626052435014E-01                      ---   5.7684823628211326E-03   1.3451800616218614E-06   3.7333195077790614E-02   7.8851219724476596E-01
  29:    4.5751599999694887E+32   3.7368843326332472E+07  -2.6191896114338458E+07   1.6270947615245032E+09   7.6497029178663092E+09   9.2643736517856224E+26   1.5826122115851412E+18   1.0737212236162503E+00   0.0000000000000000E+00   4.0570460254653938E+01   4.5004490381031198E-01       radiative       NSE   5.6802333521898524E-04   1.3644388707437094E-04                      ---   2.5016766093614848E-02                      ---                      ---   0.0000000000000000E+00                      ---   3.7603693739807326E-06   4.9386663334270194E-06   3.3624726501930405E-04   1.7996509359635850E-04   1.5554837441135851E-04   2.7289836322528880E-03   1.3810373860361749E-01                      ---   6.1783437727911455E-03   1.5065007512411998E-06   3.9236848028805837E-02   7.8734738674013205E-01
  30:    4.7740799999646772E+32   3.8067844208220579E+07  -2.6676412544773102E+07   1.5917439387822204E+09   7.6379612723317547E+09   9.0175337978720997E+26   1.5743506394536492E+18   1.0793712372748789E+00   0.0000000000000000E+00   4.0455245099696327E+01   4.5028284368970095E-01       radiative       NSE   5.5362293805450206E-04   1.4047185211592459E-04                      ---   2.5365323495232503E-02                      ---                      ---   0.0000000000000000E+00                      ---   3.8170966007137013E-06   5.2833718911597859E-06   3.4530816038429141E-04   1.8482340477706151E-04   1.5621841706442584E-04   2.7007425219748383E-03   1.3659636827827532E-01                      ---   6.6169968426433414E-03   1.6874772029374749E-06   4.1230849664308830E-02   7.8609695109679034E-01
  31:    4.9729999999596814E+32   3.8756720173999615E+07  -2.7153545971533895E+07   1.5573122241315923E+09   7.6259970159376831E+09   8.7783761832950115E+26   1.5661691693859034E+18   1.0849839609049230E+00   0.0000000000000000E+00   4.0343329302179114E+01   4.5052172284432423E-01       radiative       NSE   5.3917011128700549E-04   1.4456107267892568E-04                      ---   2.5707105325460992E-02                      ---                      ---   0.0000000000000000E+00                      ---   3.8725186778802947E-06   5.6502347468092512E-06   3.5447241737056502E-04   1.8974872149858006E-04   1.5687179630301831E-04   2.6723293877270200E-03   1.3506956415222940E-01                      ---   7.0852567369761206E-03   1.8900792379934342E-06   4.3312882102950812E-02   7.8475505436794446E-01
  32:    5.1719199999545010E+32   3.9436338826070979E+07  -2.7623899284273297E+07   1.5237578127799084E+09   7.6137429032925749E+09   8.5465097340451506E+26   1.5580561235314097E+18   1.0905470014238341E+00   0.0000000000000000E+00   4.0235590584995890E+01   4.5076212535827204E-01       radiative       NSE   5.2458414475946194E-04   1.4870475382751410E-04                      ---   2.6040043666727533E-02                      ---                      ---   0.0000000000000000E+00                      ---   3.9262870081713754E-06   6.0411519594630168E-06   3.6373540270811725E-04   1.9474214856069272E-04   1.5750171678553267E-04   2.6436004355110073E-03   1.3351776746429339E-01                      ---   7.5863855904831920E-03   2.1174863787418132E-06   4.5492551175760440E-02   7.8331669231932610E-01
  33:    5.3708399999491362E+32   4.0107483941635221E+07  -2.8088016414355367E+07   1.4910387173562381E+09   7.6012377490842848E+09   8.3215770038887265E+26   1.5500091995960156E+18   1.0960700194440998E+00   0.0000000000000000E+00   4.0131493504259986E+01   4.5100374211595662E-01       radiative       NSE   5.0995545512039144E-04   1.5290681586811348E-04                      ---   2.6364962325841970E-02                      ---                      ---   0.0000000000000000E+00                      ---   3.9785058890480951E-06   6.4573003531454651E-06   3.7309361159572623E-04   1.9980241822398079E-04   1.5811474261070440E-04   2.6147113465380392E-03   1.3194446007957084E-01                      ---   8.1217972356304076E-03   2.3724236408942624E-06   4.7769540064002698E-02   7.8177620642813161E-01
  34:    5.5697599999437714E+32   4.0770866462982953E+07  -2.8546389601317018E+07   1.4591174268456705E+09   7.5884944753833981E+09   8.1032500984658477E+26   1.5420245150236421E+18   1.1015568582280353E+00   0.0000000000000000E+00   4.0030863120205922E+01   4.5124645953764492E-01       radiative       NSE   4.9533004002573901E-04   1.5716818930599472E-04                      ---   2.6681967307491207E-02                      ---                      ---   0.0000000000000000E+00                      ---   4.0291622628519618E-06   6.9000506760696825E-06   3.8254166742356544E-04   2.0492807208154811E-04   1.5871383341073501E-04   2.5857428061165748E-03   1.3035108986044777E-01                      ---   8.6933754930979858E-03   2.6580861231159789E-06   5.0145506263256145E-02   7.8012837324826867E-01
  35:    5.7686799999382221E+32   4.1427134000529423E+07  -2.8999466078298479E+07   1.4279596035966332E+09   7.5755216414170227E+09   7.8912272126128901E+26   1.5340979673724800E+18   1.1070101767965188E+00   0.0000000000000000E+00   3.9933589682554903E+01   4.5149019605777280E-01       radiative       NSE   4.8074454549435489E-04   1.6148925852223236E-04                      ---   2.6991045892178784E-02                      ---                      ---   0.0000000000000000E+00                      ---   4.0782250439243735E-06   7.3708511894040863E-06   3.9207352371093903E-04   2.1011751139958902E-04   1.5930127977247286E-04   2.5567615589837242E-03   1.2873878594951579E-01                      ---   9.3031438939928796E-03   2.9780517480381027E-06   5.2622308683554456E-02   7.7836809053592637E-01
  36:    5.9675999999323961E+32   4.2076878928744540E+07  -2.9447653877345353E+07   1.3975334824728279E+09   7.5623310612608709E+09   7.6852296812026343E+26   1.5262262544132826E+18   1.1124330878069963E+00   0.0000000000000000E+00   3.9839529301061624E+01   4.5173482826417666E-01       radiative       NSE   4.6623839012662464E-04   1.6587047229433600E-04                      ---   2.7292272488564386E-02                      ---                      ---   0.0000000000000000E+00                      ---   4.1256735317530046E-06   7.8711290478877506E-06   4.0168203453273360E-04   2.1536850537524666E-04   1.5987950937619553E-04   2.5278411944237773E-03   1.2710907600261076E-01                      ---   9.9530605845006889E-03   3.3362148619936717E-06   5.5201079375180886E-02   7.7649055425540503E-01
  37:    6.1665199999264779E+32   4.2720645179148212E+07  -2.9891326642231613E+07   1.3678097189832501E+09   7.5489337760922899E+09   7.4849994544274976E+26   1.5184062050297510E+18   1.1178283240846565E+00   0.0000000000000000E+00   3.9748556974466211E+01   4.5198022692035222E-01       radiative       NSE   4.5184740931139870E-04   1.7031192750811198E-04                      ---   2.7585697421913212E-02                      ---                      ---   0.0000000000000000E+00                      ---   4.1714806314473100E-06   8.4023196530519240E-06   4.1135897149761409E-04   2.2067831946871689E-04   1.6045059393928783E-04   2.4990506738759677E-03   1.2546352738161262E-01                      ---   1.0645095424143953E-02   3.7368487243570562E-06   5.7882619523176346E-02   7.7449127402854634E-01
  38:    6.3654399999205597E+32   4.3358934047704600E+07  -3.0330827575248569E+07   1.3387610755692952E+09   7.5353409433858919E+09   7.2902969234308531E+26   1.5106349719273196E+18   1.1231984915697668E+00   0.0000000000000000E+00   3.9660550603384927E+01   4.5222625683623591E-01       radiative       NSE   4.3760481288034601E-04   1.7481361862099260E-04                      ---   2.7871383610414694E-02                      ---                      ---   0.0000000000000000E+00                      ---   4.2156211713785015E-06   8.9658674506559612E-06   4.2109547896723552E-04   2.2604392290905361E-04   1.6101643898394914E-04   2.4704563475441304E-03   1.2380377895483262E-01                      ---   1.1381215583916292E-02   4.1846299969188991E-06   6.0667342606787765E-02   7.7236607178766170E-01
