VERSION 10100 -- Tue Jan 15 19:34:14 2002 UTC -- created by alex on q from file /net/q/u/alex/kepler/sgrid/s12.4/s12.4#presn
  grid    cell outer total mass        cell outer radius      cell outer velocity             cell density         cell temperature            cell pressure     cell specific energy    cell specific entropy    cell angular velocity               cell A_bar                 cell Y_e       stability   NETWORK                 neutrons                       H1                      He3                      He4                      C12                      N14                      O16                     Ne20                     Mg24                     Si28                      S32                     Ar36                     Ca40                     Ti44                     Cr48                     Fe52                     Fe54                     Ni56                     Fe56                     'Fe'
  11:    5.1929321148460965E+31   1.1389763625689929E+07  -1.0618196424801528E+07   7.9523586695765419E+09   7.5862164247351618E+09   6.6573701562980328E+27   2.3523137935388160E+18   6.7795350635906371E-01   0.0000000000000000E+00   5.3009690171408387E+01   4.3528730419715211E-01       radiative       NSE   5.0701451511838162E-04   3.5194800849299614E-06                      ---   2.3022451904760200E-03                      ---                      ---   0.0000000000000000E+00                      ---   1.3561772470849599E-07   6.5693655939476169E-09   1.0904132940588989E-05   5.8939131109496026E-06   3.2097256150928886E-05   2.1887589592353052E-03   1.9113257541497741E-01                      ---   1.7685759089266424E-05   1.2159402892606723E-10   5.2233519748082202E-04   8.0327680283843028E-01
  12:    5.8545500038871719E+31   1.1884766298488725E+07  -1.1078375808957517E+07   7.8527633510926065E+09   7.5918299187074652E+09   6.5534509941409199E+27   2.3445896842799846E+18   6.8048197161807022E-01   0.0000000000000000E+00   5.2933430064998987E+01   4.3546477101704706E-01       radiative       NSE   5.0870256169177977E-04   3.6972146398806659E-06                      ---   2.3771928865322146E-03                      ---                      ---   0.0000000000000000E+00                      ---   1.4331102880354384E-07   7.2530331250897630E-09   1.1505499164960313E-05   6.2340371884180520E-06   3.3094143215893855E-05   2.2128182939610357E-03   1.9078299351717237E-01                      ---   1.9388628073738612E-05   1.4020291003914374E-10   5.6084759368579731E-04   8.0348334825779555E-01
  13:    6.4627221707098771E+31   1.2310965073523056E+07  -1.1474464230062127E+07   7.7578619622857733E+09   7.5972327891615515E+09   6.4547294283882995E+27   2.3371654455898685E+18   6.8293506612069266E-01   0.0000000000000000E+00   5.2858956175509256E+01   4.3563424098162995E-01       radiative       NSE   5.1042602961526014E-04   3.8758868362525172E-06                      ---   2.4513408665729633E-03                      ---                      ---   0.0000000000000000E+00                      ---   1.5105904667421426E-07   7.9706911648187329E-09   1.2109632633923062E-05   6.5758987190570893E-06   3.4070036022188641E-05   2.2356790694288455E-03   1.9044735294581455E-01                      ---   2.1157203215143905E-05   1.6054002739192259E-10   5.9995937957589150E-04   8.0367726554308871E-01
  14:    6.9145341135469920E+31   1.2612347305449445E+07  -1.1754481383485496E+07   7.6817027832521267E+09   7.6016023409601793E+09   6.3757176574802153E+27   2.3311610390697160E+18   6.8493527388834297E-01   0.0000000000000000E+00   5.2797898655751375E+01   4.3577048202355395E-01       radiative       NSE   5.1188853641857400E-04   4.0261760718851619E-06                      ---   2.5128364985544313E-03                      ---                      ---   0.0000000000000000E+00                      ---   1.5758554885417769E-07   8.5976315424917952E-09   1.2617418462315270E-05   6.8633496688793822E-06   3.4871733051792985E-05   2.2539705307813764E-03   1.9017595563694301E-01                      ---   2.2687522281160829E-05   1.7894213578683509E-10   6.3314132051232180E-04   8.0383094519058074E-01
  15:    7.3268243396089233E+31   1.2877368213929161E+07  -1.2000663819151729E+07   7.6212709575281162E+09   7.6050894821565905E+09   6.3131593258478027E+27   2.3263670036132214E+18   6.8654291868566908E-01   0.0000000000000000E+00   5.2748615394155429E+01   4.3587878592340601E-01       radiative       NSE   5.1309625999995689E-04   4.1500299493897616E-06                      ---   2.5629422172621275E-03                      ---                      ---   0.0000000000000000E+00                      ---   1.6296985576810971E-07   9.1301745974181467E-09   1.3035631866853641E-05   7.1001615407115425E-06   3.5519966481515780E-05   2.2684496608153977E-03   1.8995895774413252E-01                      ---   2.3977435598872979E-05   1.9501775327873482E-10   6.6067295659771430E-04   8.0395189474814455E-01
  16:    8.0164760000000870E+31   1.3301807002350982E+07  -1.2394829861605138E+07   7.5459665715992737E+09   7.6094532114356136E+09   6.2353735048284165E+27   2.3203549321798528E+18   6.8857165384192254E-01   0.0000000000000000E+00   5.2686182244321088E+01   4.3601388061784729E-01       radiative       NSE   5.1466074976863521E-04   4.3101947881002209E-06                      ---   2.6270109715742524E-03                      ---                      ---   0.0000000000000000E+00                      ---   1.6993868294258425E-07   9.8398114946859521E-09   1.3576017435971593E-05   7.4062222706750099E-06   3.6342266693630367E-05   2.2864323464388001E-03   1.8968671633664574E-01                      ---   2.5682857186561710E-05   2.1704477294428498E-10   6.9650423010530257E-04   8.0410114539708022E-01
  17:    9.0507732036574535E+31   1.3900342558216993E+07  -1.2950456100845516E+07   7.4323986160669336E+09   7.6160754924777737E+09   6.1184250333258759E+27   2.3112084073563587E+18   6.9168662851838869E-01   0.0000000000000000E+00   5.2589791448866684E+01   4.3621814413386351E-01       radiative       NSE   5.1713659015468843E-04   4.5647912191997112E-06                      ---   2.7272451159411361E-03                      ---                      ---   0.0000000000000000E+00                      ---   1.8102927277004600E-07   1.1016176892091799E-08   1.4434063265803254E-05   7.8923360009854762E-06   3.7614634927449941E-05   2.3134415881217499E-03   1.8927100714267786E-01                      ---   2.8478768588578087E-05   2.5500667002586603E-10   7.5396752610806133E-04   8.0432399028268908E-01
  18:    1.0084983806177245E+32   1.4460699461864166E+07  -1.3470404107160389E+07   7.3028689999810772E+09   7.6236767933625183E+09   5.9855741925788754E+27   2.3006555491701320E+18   6.9532275085191397E-01   0.0000000000000000E+00   5.2476512433051404E+01   4.3645176213024661E-01       radiative       NSE   5.2013119625449818E-04   4.8754322501104639E-06                      ---   2.8470626428969440E-03                      ---                      ---   0.0000000000000000E+00                      ---   1.9457671601534237E-07   1.2530422347247002E-08   1.5479151602645489E-05   8.4845625964565265E-06   3.9113401020840737E-05   2.3440548322161180E-03   1.8878907996332706E-01                      ---   3.2025659308605696E-05   3.0635318419933089E-10   8.2482820312008683E-04   8.0457461965757826E-01
  19:    1.1119108002715405E+32   1.4989307283247726E+07  -1.3960676956221908E+07   7.1791298357480516E+09   7.6309649325279055E+09   5.8592011066232996E+27   2.2905194117881134E+18   6.9888119577851160E-01   0.0000000000000000E+00   5.2364934013701479E+01   4.3667564888927690E-01       radiative       NSE   5.2314419201026567E-04   5.1937513461297464E-06                      ---   2.9672277482115515E-03                      ---                      ---   0.0000000000000000E+00                      ---   2.0847023415981226E-07   1.4170809962254518E-08   1.6547936627461089E-05   9.0903265271913035E-06   4.0593025899001669E-05   2.3730705891190471E-03   1.8831962089120963E-01                      ---   3.5809680556993534E-05   3.6489951379037348E-10   8.9823210317983826E-04   8.0481120572269504E-01
  20:    1.2153145988381763E+32   1.5491041464859582E+07  -1.4425826749347448E+07   7.0604737647737322E+09   7.6379767707361727E+09   5.7385207909612221E+27   2.2806357128486121E+18   7.0237465984765068E-01   0.0000000000000000E+00   5.2254700900768064E+01   4.3689095477813888E-01       radiative       NSE   5.2617901727809930E-04   5.5203244044560962E-06                      ---   3.0879909761992890E-03                      ---                      ---   0.0000000000000000E+00                      ---   2.2272986377518578E-07   1.5944945619184817E-08   1.7641886798750714E-05   9.7103664658863861E-06   4.2057048334262212E-05   2.4006777054227492E-03   1.8786081614525879E-01                      ---   3.9840823455893213E-05   4.3137518768997405E-10   9.7424564004565265E-04   8.0503503666726817E-01
